area_id,area_name,latitude,longitude,parameter_id,parameter_description,datetime,value_type,value_text
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406291200,,112.5
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406291200,,ESE
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406291200,,11230
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406291800,,112.5
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406291800,,ESE
501272,Bangkalan,-7.033333333,112.7667,wd,Wind direction,202406291800,,11230
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406270000,,5
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406270000,,5.75389725
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406270000,,9.26
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406270000,,2.57222222
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406270600,,10
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406270600,,11.5077945
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406270600,,18.52
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406270600,,5.14444444
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406271200,,5
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406271200,,5.75389725
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406271200,,9.26
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406271200,,2.57222222
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406271800,,5
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406271800,,5.75389725
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406271800,,9.26
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406271800,,2.57222222
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406280000,,10
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406280000,,11.5077945
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406280000,,18.52
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406280000,,5.14444444
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406280600,,15
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406280600,,17.26169175
